time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1716607415.31003618,0.01814988,4629,0.00033389,0.00000000,0,0.00000084,270720,270733,26,0.00048216
1716607415.41001582,0.01836186,4722,0.00021943,0.00000000,0,0.00000091,270733,270735,26,0.00050667
1716607415.50987935,0.01995703,4692,0.00026299,0.00000000,0,0.00000101,270735,270727,41,0.00047192
1716607415.61009336,0.01930537,4635,0.00014719,0.00000000,0,0.00000101,270727,270740,20,0.00046777
1716607415.71009398,0.02036518,4705,0.00036105,0.00000000,0,0.00000100,270740,270737,38,0.00043533
1716607415.80997634,0.01868195,4713,0.00025693,0.00000000,0,0.00000103,270737,270755,34,0.00047258
1716607415.91017962,0.01877926,4669,0.00019934,0.00000000,0,0.00000131,270755,270774,30,0.00049992
1716607416.01017451,0.01939980,4664,0.00019867,0.00000000,0,0.00000114,270774,270792,26,0.00048043
1716607416.11017084,0.01968448,4620,0.00033060,0.00000000,0,0.00000107,270792,270802,40,0.00052403
1716607416.21033072,0.02073971,4600,0.00015274,0.00000000,0,0.00000101,270802,270812,27,0.00051766
1716607416.31033206,0.02041375,4669,0.00019285,0.00000000,0,0.00000100,270812,270837,30,0.00046000
1716607416.41034555,0.02021373,4572,0.00047744,0.00000000,0,0.00000082,270837,270806,41,0.00047694
1716607416.51035357,0.01960902,4614,0.00031959,0.00000000,0,0.00000091,270806,270819,39,0.00047723
1716607416.61047292,0.01977148,4600,0.00023588,0.00000000,0,0.00000114,270819,270849,37,0.00047864
1716607416.71046305,0.02100596,4555,0.00071216,0.00000000,0,0.00000121,270849,270776,41,0.00049109
1716607416.81059432,0.02054953,4638,0.00026784,0.00000000,0,0.00000105,270776,270795,42,0.00070278
1716607416.91065764,0.02017504,4535,0.00027070,0.00000000,0,0.00000097,270795,270815,34,0.00047840
1716607417.01065421,0.01965493,4502,0.00018697,0.00000000,0,0.00000113,270815,270823,26,0.00047711
1716607417.11050677,0.02041355,4561,0.00028423,0.00000000,0,0.00000102,270823,270847,40,0.00048439
1716607417.21049929,0.02060152,4529,0.00026854,0.00000000,0,0.00000126,270847,270852,30,0.00048369
1716607417.31076789,0.01835538,4556,0.00022262,0.00000000,0,0.00000096,270852,270861,33,0.00045950
1716607417.41069102,0.02054381,4488,0.00022868,0.00000000,0,0.00000115,270861,270865,32,0.00047072
1716607417.51068687,0.01966923,4471,0.00014938,0.00000000,0,0.00000079,270865,270870,24,0.00049323
1716607417.61068892,0.02080277,4471,0.00018152,0.00000000,0,0.00000111,270870,270880,26,0.00047668
1716607417.71002555,0.01722026,4509,0.00019191,0.00000000,0,0.00000056,270880,270885,33,0.00051506
1716607417.81085491,0.01937872,4512,0.00019416,0.00000000,0,0.00000143,270885,270901,31,0.00047215
1716607417.91083503,0.01825131,4452,0.00012978,0.00000000,0,0.00000124,270901,270913,26,0.00054284
